Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Federiko Federiko,Texas Tech,C,35,6,18.9,2.1,2.9,0.743,0.0,0.0,,2.1,2.9,0.743,0.743,0.9,1.7,0.492,2.3,2.2,4.5,0.7,0.4,0.8,0.7,2.1,5.1
Eduardo Andre,West Virginia,F,31,9,17.0,2.2,3.1,0.698,0.0,0.0,,2.2,3.1,0.698,0.698,0.6,1.2,0.541,1.0,2.8,3.8,1.0,0.7,1.4,1.1,2.4,5.0
Josh Reed,Cincinnati,G,33,9,17.6,1.7,4.1,0.410,0.6,1.9,0.313,1.1,2.1,0.500,0.485,0.9,1.0,0.853,0.8,1.7,2.5,0.8,0.7,0.2,0.3,1.5,4.8
JJ Taylor,UCF,F,25,0,13.8,1.3,3.2,0.407,0.5,1.6,0.325,0.8,1.6,0.488,0.488,1.2,1.8,0.652,0.6,1.7,2.2,0.8,0.4,0.3,1.1,1.4,4.4
Connor Hickman,Cincinnati,G,13,7,19.8,1.8,4.8,0.371,0.7,2.7,0.257,1.1,2.1,0.519,0.444,0.1,0.2,0.500,0.2,2.2,2.5,1.2,0.6,0.1,0.6,1.0,4.3
Jace Posey,TCU,F,31,3,12.8,1.5,3.7,0.421,0.3,1.2,0.278,1.2,2.5,0.487,0.465,0.8,1.6,0.531,1.0,1.3,2.3,0.4,0.5,0.2,0.6,1.2,4.3
Assane Diop,Colorado,F,35,17,15.1,1.1,2.7,0.389,0.1,0.7,0.200,0.9,2.0,0.457,0.416,1.5,1.9,0.791,1.0,2.7,3.7,0.8,0.3,0.1,1.1,1.5,3.8
Brandton Chatfield,Iowa State,F,35,2,14.4,1.6,2.5,0.618,0.0,0.1,0.000,1.6,2.5,0.632,0.618,0.7,1.0,0.706,1.7,1.4,3.1,0.3,0.3,0.5,0.5,2.1,3.8
Hunter Erickson,Utah,G,33,2,17.8,1.2,2.9,0.400,0.8,2.2,0.347,0.4,0.7,0.565,0.532,0.7,0.8,0.821,0.3,1.2,1.6,1.5,0.5,0.3,0.8,1.2,3.8
Nils Machowski,UCF,G,31,9,12.4,1.2,2.7,0.435,0.6,1.6,0.367,0.6,1.2,0.528,0.541,0.7,0.9,0.815,0.7,1.5,2.2,0.8,0.6,0.1,0.5,0.8,3.7
