player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_G,team
Tyler Dorsey,22,26,0,9.6,1.2,3.4,.360,0.4,1.5,.256,0.8,1.9,.440,.416,0.6,0.9,.625,0.3,1.3,1.7,0.7,0.3,0.0,0.4,0.8,3.4,ATL
Justin Anderson,25,25,0,8.9,1.2,3.0,.382,0.3,1.5,.216,0.8,1.6,.538,.434,0.5,0.7,.722,0.4,1.2,1.6,0.4,0.4,0.3,0.5,1.0,3.2,ATL
Jaylen Adams,22,9,0,4.8,0.3,1.1,.300,0.2,0.7,.333,0.1,0.4,.250,.400,0.0,0.0,,0.0,0.3,0.3,0.7,0.3,0.1,0.1,0.4,0.9,ATL
Justin Holiday,29,38,38,34.9,4.0,10.4,.383,2.6,7.1,.359,1.4,3.3,.435,.506,1.1,1.2,.891,0.5,3.9,4.4,2.2,1.8,0.6,1.2,2.1,11.6,CHI
Zach LaVine,23,44,43,33.9,8.0,17.9,.450,1.8,5.1,.344,6.3,12.8,.492,.499,5.0,5.8,.867,0.5,3.9,4.4,4.2,1.0,0.4,3.5,2.3,22.9,CHI
Lauri Markkanen,21,27,26,31.4,6.3,14.6,.431,2.6,6.6,.395,3.7,8.0,.461,.520,2.0,2.3,.841,1.1,6.3,7.4,0.9,0.9,0.8,1.6,2.1,17.1,CHI
Kris Dunn,24,24,22,30.8,5.0,11.5,.435,0.5,1.6,.308,4.5,9.9,.456,.457,1.5,1.8,.814,0.2,4.0,4.2,6.5,1.6,0.5,2.4,3.8,12.0,CHI
Jabari Parker,23,37,17,27.2,5.7,12.1,.469,1.0,3.0,.324,4.7,9.1,.516,.509,2.1,2.9,.736,1.1,5.2,6.2,2.2,0.6,0.3,2.2,2.2,14.4,CHI
Ryan Arcidiacono,24,49,23,25.2,2.0,4.7,.426,1.2,3.2,.387,0.8,1.5,.507,.557,0.8,0.9,.889,0.3,2.0,2.3,3.4,1.0,0.0,0.8,2.2,6.0,CHI
Wendell Carter,19,44,44,25.2,4.1,8.4,.485,0.1,0.7,.188,4.0,7.7,.513,.493,2.0,2.5,.795,2.0,5.0,7.0,1.8,0.6,1.3,1.5,3.5,10.3,CHI
Bobby Portis,23,19,6,23.6,4.9,11.7,.422,1.1,3.2,.350,3.8,8.6,.448,.469,1.6,2.2,.732,2.2,5.3,7.5,1.4,0.4,0.4,1.3,2.5,12.6,CHI
Chandler Hutchison,22,44,14,20.3,2.2,4.8,.459,0.3,1.1,.280,1.9,3.6,.516,.493,0.5,0.9,.605,0.7,3.5,4.2,0.8,0.5,0.1,0.6,1.3,5.2,CHI
Wayne Selden,24,11,1,18.2,2.1,4.7,.442,0.6,1.7,.368,1.5,3.0,.485,.510,0.6,1.1,.583,0.3,1.4,1.6,1.3,0.4,0.1,0.9,1.6,5.5,CHI
Cameron Payne,24,31,12,17.3,2.2,5.4,.411,0.5,1.9,.271,1.7,3.5,.486,.458,0.7,0.8,.880,0.3,1.4,1.7,2.7,0.6,0.2,1.1,1.6,5.7,CHI
Shaquille Harrison,25,41,0,17.1,2.0,5.1,.385,0.3,1.3,.250,1.6,3.8,.429,.416,1.1,1.8,.625,0.4,2.3,2.6,1.6,1.2,0.3,0.7,1.6,5.3,CHI
Robin Lopez,30,42,4,16.6,2.6,5.0,.526,0.1,0.4,.294,2.5,4.6,.546,.538,0.6,0.9,.658,1.4,1.6,3.0,1.0,0.2,0.9,1.4,1.7,6.0,CHI
Antonio Blakeney,22,38,0,14.9,3.1,7.4,.423,0.8,1.8,.457,2.3,5.6,.412,.480,1.0,1.5,.679,0.1,1.5,1.7,0.6,0.3,0.2,0.7,0.7,8.1,CHI
Cristiano Felicio,26,31,0,9.5,1.1,2.0,.556,0.0,0.1,.000,1.1,2.0,.574,.556,0.5,0.7,.739,0.8,1.8,2.6,0.5,0.1,0.1,0.5,0.8,2.8,CHI
Rawle Alkins,21,2,0,2.0,0.5,2.0,.250,0.5,0.5,1.000,0.0,1.5,.000,.375,0.0,0.0,,1.5,0.0,1.5,1.0,0.5,0.0,0.0,0.0,1.5,CHI
Tyler Ulis,23,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI
Kevin Love,30,4,4,34.0,5.3,16.3,.323,1.8,6.0,.292,3.5,10.3,.341,.377,6.8,8.3,.818,2.5,11.0,13.5,3.5,0.3,0.3,2.5,3.5,19.0,CLE
Cedi Osman,23,49,48,31.8,4.5,10.8,.416,1.5,4.7,.320,3.0,6.0,.490,.486,1.9,2.4,.792,0.6,4.1,4.7,2.1,0.7,0.2,1.7,2.6,12.4,CLE
Tristan Thompson,27,35,35,29.8,4.9,9.4,.526,0.0,0.0,,4.9,9.4,.526,.526,1.6,2.4,.647,4.4,6.7,11.1,2.1,0.8,0.5,1.4,2.3,11.5,CLE
Collin Sexton,20,51,41,29.6,5.5,13.5,.409,0.9,2.4,.400,4.6,11.2,.411,.444,2.4,2.8,.853,0.7,2.3,3.0,2.8,0.5,0.1,2.3,2.5,14.4,CLE
Alec Burks,27,31,21,28.2,3.9,9.9,.395,1.3,3.4,.394,2.6,6.5,.396,.462,2.4,2.9,.802,0.7,4.7,5.5,2.6,0.7,0.5,1.3,1.7,11.5,CLE
Rodney Hood,26,43,43,27.3,4.4,10.3,.431,1.2,3.4,.361,3.2,6.8,.466,.491,2.3,2.6,.918,0.4,2.0,2.4,2.0,0.8,0.1,0.8,2.2,12.4,CLE
George Hill,32,13,13,26.5,4.2,8.2,.514,1.0,2.2,.464,3.2,6.1,.532,.575,1.3,1.5,.850,0.9,1.2,2.1,2.8,0.9,0.1,1.5,2.7,10.8,CLE
Jordan Clarkson,26,50,0,26.3,6.6,14.5,.452,1.7,5.2,.332,4.8,9.3,.521,.512,1.7,2.0,.848,0.9,2.3,3.3,2.3,0.7,0.2,1.6,1.6,16.5,CLE
Larry Nance,26,41,17,25.3,3.4,6.6,.517,0.3,1.0,.317,3.1,5.6,.553,.541,1.5,2.0,.723,2.2,5.2,7.4,3.0,1.4,0.7,1.3,2.9,8.6,CLE
J.R. Smith,33,11,4,20.2,2.5,7.2,.342,1.1,3.5,.308,1.4,3.6,.375,.418,0.7,0.9,.800,0.0,1.6,1.6,1.9,1.0,0.3,1.0,1.7,6.7,CLE
Cameron Payne,24,9,1,19.6,3.0,6.1,.491,1.0,2.8,.360,2.0,3.3,.600,.573,1.2,1.8,.688,0.3,1.8,2.1,2.6,0.9,0.3,1.2,1.7,8.2,CLE
Matthew Dellavedova,28,22,0,19.0,3.0,6.4,.471,1.3,3.4,.392,1.7,3.0,.561,.575,1.0,1.2,.852,0.2,1.5,1.8,3.7,0.2,0.0,1.6,1.8,8.4,CLE
