player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_G,team
Iman Shumpert,28,39,37,26.0,3.2,8.4,.377,1.8,4.9,.361,1.4,3.5,.400,.483,0.8,1.0,.825,0.5,2.5,3.0,2.1,1.2,0.5,0.9,2.3,8.9,SAC
Nemanja Bjelica,30,49,48,24.0,3.8,7.8,.483,1.4,3.4,.425,2.3,4.4,.528,.576,1.0,1.3,.762,1.5,4.3,5.9,2.0,0.8,0.8,1.2,2.6,10.0,SAC
Marvin Bagley,19,36,1,23.5,4.9,9.5,.520,0.3,1.1,.268,4.6,8.4,.555,.537,2.6,3.8,.674,2.3,4.2,6.4,0.9,0.5,1.0,1.7,2.1,12.8,SAC
Justin Jackson,23,49,3,21.3,2.5,5.9,.427,1.1,3.2,.353,1.4,2.7,.515,.523,0.8,0.9,.804,0.5,2.3,2.9,1.3,0.4,0.2,0.4,1.3,6.9,SAC
Troy Williams,24,18,0,15.9,2.2,4.8,.460,0.8,2.3,.341,1.4,2.6,.565,.540,0.5,0.8,.600,0.5,2.6,3.1,0.6,0.6,0.4,0.4,1.9,5.7,SAC
Yogi Ferrell,25,40,3,14.5,2.1,4.9,.431,0.7,1.9,.377,1.4,3.0,.466,.505,0.8,0.9,.886,0.2,1.5,1.7,1.9,0.5,0.1,0.5,0.7,5.7,SAC
Kosta Koufos,29,28,1,12.9,1.8,3.7,.481,0.0,0.0,,1.8,3.7,.481,.481,0.2,0.5,.400,1.4,3.3,4.7,0.9,0.4,0.5,0.7,1.9,3.8,SAC
Harry Giles,20,37,0,12.5,2.5,5.1,.481,0.0,0.1,.000,2.5,5.0,.495,.481,0.7,1.3,.542,0.9,2.3,3.2,1.4,0.6,0.4,1.2,2.5,5.6,SAC
Frank Mason,24,32,0,11.9,1.7,4.2,.400,0.3,1.4,.196,1.4,2.8,.506,.433,1.0,1.4,.674,0.1,1.0,1.1,2.5,0.5,0.1,0.9,0.8,4.6,SAC
Skal Labissiere,22,11,0,9.0,1.1,2.5,.444,0.3,0.9,.300,0.8,1.5,.529,.500,0.5,1.0,.545,0.2,1.6,1.8,0.4,0.2,0.2,0.5,1.7,3.0,SAC
Ben McLemore,25,19,0,8.3,1.3,3.4,.391,0.9,2.2,.415,0.4,1.2,.348,.523,0.4,0.6,.667,0.2,0.7,0.9,0.2,0.3,0.2,0.3,1.2,3.9,SAC
James Harden,29,46,46,37.4,10.6,24.0,.440,4.9,13.2,.368,5.7,10.8,.528,.542,10.3,11.9,.868,1.0,5.6,6.6,8.2,2.0,0.7,5.5,3.4,36.3,HOU
Austin Rivers,26,17,13,36.3,4.2,10.3,.411,2.0,6.2,.321,2.2,4.1,.551,.509,0.4,0.9,.467,0.4,2.3,2.7,3.5,0.6,0.4,0.8,3.7,10.9,HOU
P.J. Tucker,33,49,49,35.5,2.8,6.8,.415,1.9,4.9,.382,1.0,2.0,.495,.551,0.6,1.0,.638,1.5,4.7,6.2,1.2,1.5,0.4,0.9,3.1,8.1,HOU
Clint Capela,24,42,42,34.2,7.5,11.9,.631,0.0,0.0,,7.5,11.9,.631,.631,2.6,4.1,.626,5.0,7.6,12.6,1.5,0.6,1.8,1.5,2.7,17.6,HOU
Eric Gordon,30,38,24,32.9,5.7,14.7,.385,2.7,8.5,.317,3.0,6.2,.479,.477,2.3,2.9,.798,0.4,2.3,2.7,2.1,0.6,0.4,1.5,2.2,16.3,HOU
Chris Paul,33,27,27,32.9,5.2,12.5,.417,2.0,5.7,.355,3.2,6.8,.470,.499,3.0,3.6,.816,0.6,3.5,4.1,7.9,2.1,0.3,3.0,2.6,15.4,HOU
Kenneth Faried,29,4,3,30.8,5.8,9.5,.605,0.3,1.0,.250,5.5,8.5,.647,.618,2.5,5.5,.455,3.0,6.5,9.5,1.5,1.3,1.3,1.5,3.3,14.3,HOU
Carmelo Anthony,34,10,2,29.4,4.9,12.1,.405,2.1,6.4,.328,2.8,5.7,.491,.492,1.5,2.2,.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4,HOU
Danuel House,25,25,12,24.8,2.8,6.2,.458,1.6,4.0,.390,1.3,2.2,.582,.584,1.8,2.2,.818,0.8,2.8,3.6,1.0,0.6,0.4,0.9,1.8,9.0,HOU
James Ennis,28,35,23,23.2,2.5,5.1,.497,1.1,2.9,.366,1.5,2.2,.671,.602,1.0,1.5,.692,0.9,1.9,2.8,0.7,0.9,0.4,0.6,2.8,7.1,HOU
Gerald Green,33,45,0,21.2,3.2,7.8,.402,2.1,6.2,.343,1.0,1.6,.630,.538,0.7,0.8,.811,0.5,2.3,2.7,0.6,0.4,0.4,0.7,2.0,9.1,HOU
James Nunnally,28,2,0,19.0,1.5,6.5,.231,1.5,6.0,.250,0.0,0.5,.000,.346,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,3.0,4.5,HOU
Gary Clark,24,34,1,15.4,1.0,3.2,.321,0.9,2.9,.293,0.2,0.3,.600,.454,0.2,0.2,1.000,0.5,2.2,2.7,0.4,0.4,0.6,0.1,1.1,3.1,HOU
Nene Hilario,36,23,2,13.3,1.6,2.9,.545,0.0,0.1,.000,1.6,2.8,.563,.545,0.9,1.1,.800,0.7,2.6,3.3,0.6,0.3,0.3,0.3,2.2,4.0,HOU
Brandon Knight,27,12,0,9.8,0.9,3.9,.234,0.4,2.7,.156,0.5,1.3,.400,.287,0.8,0.9,.818,0.1,0.7,0.8,0.8,0.2,0.0,0.4,1.2,3.0,HOU
Michael Carter-Williams,27,16,1,9.1,1.6,3.8,.410,0.4,1.2,.368,1.1,2.6,.429,.467,0.8,1.6,.462,0.2,0.6,0.8,1.3,0.6,0.4,0.6,1.7,4.3,HOU
Isaiah Hartenstein,20,23,0,8.0,0.7,1.6,.472,0.1,0.3,.333,0.7,1.3,.500,.500,0.5,0.6,.786,0.8,0.9,1.7,0.5,0.2,0.4,0.5,2.0,2.0,HOU
Vince Edwards,22,2,0,8.0,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,HOU
Marquese Chriss,21,15,0,6.7,0.7,2.2,.333,0.1,1.0,.067,0.7,1.2,.556,.348,0.4,0.5,.857,0.5,1.3,1.8,0.4,0.1,0.3,0.8,1.1,1.9,HOU
Zhou Qi,23,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,HOU
DeMar DeRozan,29,48,48,35.4,8.3,17.9,.466,0.1,0.8,.175,8.2,17.1,.480,.470,4.7,5.7,.822,0.8,5.4,6.2,6.3,1.1,0.5,2.7,2.3,21.5,SAS
LaMarcus Aldridge,33,51,51,32.5,8.3,16.2,.513,0.1,0.4,.211,8.2,15.8,.520,.516,4.3,5.1,.845,2.9,5.8,8.6,2.6,0.5,1.2,1.9,2.2,20.9,SAS
Bryn Forbes,25,51,51,28.6,4.5,10.0,.457,2.2,5.1,.427,2.4,4.8,.488,.567,0.9,1.0,.880,0.2,2.7,2.9,2.3,0.6,0.0,1.2,2.1,12.2,SAS
Rudy Gay,32,41,38,27.1,5.7,10.8,.523,1.0,2.5,.404,4.6,8.3,.559,.570,1.8,2.1,.860,1.0,5.5,6.5,2.5,0.9,0.6,1.6,2.7,14.1,SAS
Derrick White,24,42,30,25.2,3.6,7.1,.508,0.7,1.9,.354,2.9,5.2,.564,.556,1.4,1.8,.770,0.5,2.9,3.3,3.6,1.0,0.5,1.5,2.0,9.2,SAS
Patty Mills,30,51,0,23.6,3.2,7.5,.429,1.8,4.5,.396,1.5,3.1,.475,.545,1.2,1.5,.851,0.3,2.1,2.4,3.0,0.7,0.2,1.1,1.5,9.5,SAS
Marco Belinelli,32,49,0,22.4,3.7,8.7,.420,2.0,5.0,.392,1.7,3.7,.459,.533,1.7,1.8,.910,0.2,2.1,2.3,1.9,0.5,0.1,0.8,1.6,10.9,SAS
Davis Bertans,26,45,4,20.3,2.7,5.4,.504,2.0,4.2,.492,0.7,1.3,.544,.693,0.5,0.6,.852,0.4,3.1,3.5,1.1,0.5,0.5,0.6,1.7,8.0,SAS
Dante Cunningham,31,46,21,16.5,1.3,2.8,.469,0.6,1.2,.491,0.7,1.6,.453,.573,0.2,0.3,.786,0.9,2.7,3.6,1.0,0.5,0.3,0.4,1.3,3.5,SAS
Jakob Poeltl,23,47,6,15.1,2.2,3.5,.633,0.0,0.0,,2.2,3.5,.633,.633,0.8,1.4,.552,2.1,2.7,4.9,1.2,0.2,0.7,0.7,1.6,5.3,SAS
Pau Gasol,38,20,6,14.1,1.8,3.5,.500,0.3,0.5,.500,1.5,3.0,.500,.536,1.1,1.5,.733,0.8,4.7,5.5,2.0,0.2,0.7,0.7,1.2,4.9,SAS
Lonnie Walker,20,3,0,8.3,1.3,3.3,.400,0.7,1.3,.500,0.7,2.0,.333,.500,0.0,0.0,,0.0,2.0,2.0,0.3,0.3,0.3,0.3,1.0,3.3,SAS
Quincy Pondexter,30,36,0,5.7,0.6,1.2,.500,0.2,0.4,.375,0.4,0.7,.577,.571,0.8,1.0,.771,0.2,0.8,1.0,0.4,0.2,0.0,0.3,0.5,2.1,SAS
Chimezie Metu,21,21,0,5.3,0.8,2.1,.356,0.0,0.1,.000,0.8,2.0,.372,.356,0.6,0.8,.765,0.4,0.9,1.3,0.5,0.2,0.1,0.6,0.5,2.1,SAS
Drew Eubanks,21,12,0,3.9,0.8,1.2,.714,0.0,0.0,,0.8,1.2,.714,.714,0.5,0.7,.750,0.1,0.9,1.0,0.2,0.1,0.0,0.2,0.3,2.2,SAS
Devin Booker,22,39,39,34.5,8.6,19.0,.453,2.1,6.5,.319,6.5,12.5,.524,.508,5.2,6.1,.845,0.5,3.1,3.6,6.7,0.9,0.2,3.9,3.3,24.5,PHO
Trevor Ariza,33,26,26,34.0,3.3,8.7,.379,1.9,5.3,.360,1.4,3.4,.409,.489,1.4,1.7,.837,0.6,5.0,5.6,3.3,1.5,0.3,1.5,1.7,9.9,PHO
T.J. Warren,25,43,36,31.6,6.9,14.2,.486,1.8,4.2,.428,5.1,10.0,.510,.549,2.3,2.9,.815,0.7,3.3,4.0,1.5,1.2,0.7,1.2,2.8,18.0,PHO
Deandre Ayton,20,47,46,30.8,7.2,12.1,.594,0.0,0.0,.000,7.2,12.0,.596,.594,2.0,2.7,.768,3.2,7.4,10.6,2.0,0.8,1.0,1.8,2.8,16.4,PHO
Kelly Oubre,23,21,0,27.1,5.1,11.8,.433,1.7,5.0,.343,3.4,6.8,.500,.506,2.8,3.6,.763,0.9,3.3,4.2,1.5,1.0,1.1,1.7,2.8,14.7,PHO
Mikal Bridges,22,52,38,26.8,2.8,6.5,.424,1.3,3.7,.347,1.5,2.8,.528,.524,0.9,1.0,.849,0.6,2.4,2.9,1.6,1.4,0.6,0.7,2.3,7.7,PHO
Isaiah Canaan,27,19,15,26.5,2.7,6.8,.395,1.3,3.8,.347,1.4,3.0,.456,.492,0.8,1.1,.750,0.3,2.3,2.6,3.3,0.6,0.0,1.5,2.4,7.5,PHO
Josh Jackson,21,52,15,23.1,3.8,9.5,.401,0.7,2.5,.290,3.1,7.0,.441,.439,1.7,2.5,.672,0.8,3.5,4.2,2.2,0.9,0.7,2.3,2.5,10.0,PHO
De'Anthony Melton,20,33,25,20.5,2.2,5.8,.368,0.7,2.3,.312,1.4,3.5,.405,.430,0.5,0.5,.833,0.5,2.1,2.6,3.3,1.5,0.5,1.7,2.6,5.5,PHO
Ryan Anderson,30,15,8,18.5,1.3,4.0,.317,0.5,2.3,.206,0.8,1.7,.462,.375,0.7,0.9,.786,0.9,2.1,3.0,1.1,0.2,0.1,0.8,1.5,3.7,PHO
Elie Okobo,21,34,6,18.2,2.3,5.9,.381,0.8,2.5,.302,1.5,3.4,.440,.446,0.7,0.9,.833,0.2,1.7,1.9,2.3,0.7,0.1,1.3,2.3,6.0,PHO
Jamal Crawford,38,42,0,17.7,2.2,6.1,.353,0.7,2.6,.275,1.5,3.5,.409,.411,1.2,1.5,.813,0.1,1.0,1.2,3.3,0.4,0.2,1.5,1.2,6.3,PHO
Richaun Holmes,25,46,1,16.2,3.2,4.8,.671,0.0,0.0,,3.2,4.8,.671,.671,1.7,2.3,.731,1.7,2.9,4.6,0.8,0.6,1.2,0.8,2.5,8.1,PHO
Troy Daniels,27,26,0,13.5,2.0,4.9,.406,1.5,3.7,.392,0.5,1.2,.452,.555,0.5,0.6,.800,0.2,0.8,1.0,0.3,0.6,0.1,0.7,1.3,5.9,PHO
Tyson Chandler,36,7,0,12.7,1.1,1.7,.667,0.0,0.0,,1.1,1.7,.667,.667,1.4,2.6,.556,1.0,4.6,5.6,0.9,0.3,0.1,1.0,3.0,3.7,PHO
Dragan Bender,21,19,5,12.6,1.7,3.9,.432,0.4,2.0,.184,1.3,1.9,.694,.480,0.8,1.3,.667,0.8,1.8,2.6,0.7,0.3,0.2,0.7,1.1,4.6,PHO
Quincy Acy,28,10,0,12.3,0.4,1.8,.222,0.2,1.5,.133,0.2,0.3,.667,.278,0.7,1.0,.700,0.3,2.2,2.5,0.8,0.1,0.4,0.4,2.4,1.7,PHO
Jawun Evans,22,4,0,11.5,0.5,2.5,.200,0.0,0.5,.000,0.5,2.0,.250,.200,0.0,0.0,,0.3,2.3,2.5,2.0,0.5,0.0,1.0,1.5,1.0,PHO
Emanuel Terry,22,1,0,9.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,1.0,2.0,.500,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,5.0,PHO
George King,25,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PHO
Eric Moreland,27,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,PHO
