Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_Opp,FGA_Opp,FG%_Opp,3P_Opp,3PA_Opp,3P%_Opp,2P_Opp,2PA_Opp,2P%_Opp,eFG%_Opp,FT_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,TRB_Opp,AST_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
53,53,2025-02-11,,MEM,L,112,119,,41,92,0.446,12,44,0.273,29,48,0.604,0.511,18,22,0.818,7,35,42,35,8,9,12,17,43,100,0.430,12,39,0.308,31,61,0.508,0.490,21,27,0.778,20,40,60,22,8,3,13,22,108.6,115.4,103.1,0.239,0.478,0.551,41.2,85.4,7.8,14.8,0.511,10.6,14.9,0.196,0.490,10.4,36.4,0.210
54,54,2025-02-12,@,HOU,L,111,119,,46,89,0.517,10,26,0.385,36,63,0.571,0.573,9,11,0.818,11,32,43,25,7,5,18,19,46,97,0.474,13,42,0.310,33,55,0.600,0.541,14,24,0.583,17,30,47,32,10,4,11,15,112.3,120.4,98.9,0.124,0.292,0.591,47.8,54.3,7.1,9.1,0.573,16.1,26.8,0.101,0.541,9.3,34.7,0.144
55,55,2025-02-20,@,SAS,L,109,120,,38,81,0.469,16,44,0.364,22,37,0.595,0.568,17,20,0.850,5,34,39,28,6,4,18,21,44,93,0.473,15,41,0.366,29,52,0.558,0.554,17,22,0.773,6,38,44,30,13,3,11,20,105.5,116.2,103.3,0.247,0.543,0.607,47.0,73.7,5.8,7.7,0.568,16.7,11.6,0.210,0.554,9.7,15.0,0.183
56,56,2025-02-22,@,CHI,W,121,117,,43,89,0.483,10,30,0.333,33,59,0.559,0.539,25,28,0.893,8,41,49,29,7,3,11,11,41,98,0.418,18,53,0.340,23,45,0.511,0.510,17,17,1.000,11,34,45,29,9,4,9,21,119.4,115.4,101.4,0.315,0.337,0.597,52.1,67.4,6.9,6.7,0.539,9.8,19.0,0.281,0.510,7.9,21.2,0.173
57,57,2025-02-23,@,TOR,L,109,127,,43,85,0.506,7,28,0.250,36,57,0.632,0.547,16,22,0.727,4,33,37,22,9,7,12,19,43,88,0.489,20,35,0.571,23,53,0.434,0.602,21,30,0.700,14,35,49,30,6,1,14,23,108.5,126.5,100.4,0.259,0.329,0.576,43.0,51.2,9.0,13.2,0.547,11.2,10.3,0.188,0.602,12.2,29.8,0.239
58,58,2025-02-25,@,MEM,L,148,151,OT,53,99,0.535,21,37,0.568,32,62,0.516,0.641,21,26,0.808,8,38,46,39,6,6,16,25,52,99,0.525,20,48,0.417,32,51,0.627,0.626,27,30,0.900,7,31,38,36,10,4,12,22,128.4,131.0,104.4,0.263,0.374,0.670,54.8,73.6,5.2,11.8,0.641,12.7,20.5,0.212,0.626,9.7,15.6,0.273
59,59,2025-02-27,,NOP,L,116,124,,44,94,0.468,20,53,0.377,24,41,0.585,0.574,8,10,0.800,14,38,52,29,4,6,11,15,50,104,0.481,17,47,0.362,33,57,0.579,0.563,7,12,0.583,16,34,50,25,3,6,6,12,121.4,129.8,95.5,0.106,0.564,0.589,51.0,65.9,4.2,10.5,0.574,10.1,29.2,0.085,0.563,5.2,29.6,0.067
60,60,2025-02-28,,NOP,W,125,108,,47,79,0.595,21,40,0.525,26,39,0.667,0.728,10,13,0.769,5,30,35,35,6,3,17,18,44,87,0.506,11,28,0.393,33,59,0.559,0.569,9,15,0.600,13,22,35,28,10,3,15,13,132.3,114.3,94.5,0.165,0.506,0.738,50.0,74.5,6.4,5.1,0.728,16.7,18.5,0.127,0.569,13.8,30.2,0.103
61,61,2025-03-02,,MIN,L,98,116,,35,80,0.438,13,42,0.310,22,38,0.579,0.519,15,19,0.789,10,47,57,24,2,7,22,16,39,92,0.424,21,52,0.404,18,40,0.450,0.538,17,21,0.810,5,30,35,28,18,2,8,17,97.8,115.7,100.3,0.238,0.525,0.555,62.0,68.6,2.0,17.5,0.519,19.9,25.0,0.188,0.538,7.3,9.6,0.185
62,62,2025-03-04,,LAC,W,119,117,,41,80,0.513,14,34,0.412,27,46,0.587,0.600,23,27,0.852,7,30,37,31,5,3,11,20,43,83,0.518,8,30,0.267,35,53,0.660,0.566,23,27,0.852,7,30,37,29,8,3,7,22,127.5,125.4,93.3,0.338,0.425,0.648,50.0,75.6,5.4,5.7,0.600,10.7,18.9,0.288,0.566,6.9,18.9,0.277
63,63,2025-03-07,@,DEN,L,141,149,OT,51,91,0.560,16,38,0.421,35,53,0.660,0.648,23,29,0.793,7,32,39,36,6,2,13,18,57,97,0.588,21,40,0.525,36,57,0.632,0.696,14,18,0.778,8,30,38,45,8,3,9,22,132.9,140.5,96.1,0.319,0.418,0.679,50.6,70.6,5.7,3.5,0.648,11.1,18.9,0.253,0.696,7.9,20.0,0.144
